ProphageID	Phylum	Class	Order	Family	Genus	Species	strain	NCBItaxonomyID
g.31357.pp.5	Firmicutes;	Clostridia;	Clostridiales;	Oscillospiraceae;	Oscillibacter		42738	1235797
g.31410.pp.3	Proteobacteria;	Alphaproteobacteria;	Rhodospirillales;	Rhodospirillaceae;	Magnetospirillum		SO-1	1244869
g.3151.pp.2	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Pseudomonadaceae;	Pseudomonas;	Pseudomonasfluorescensgroup;	WH6	746360
g.31515.pp.2	Proteobacteria;	Betaproteobacteria;	Rhodocyclales;	Zoogloeaceae;	Azoarcus;	Azoarcustoluclasticus	ATCC700605	1261621
g.31540.pp.1	Proteobacteria;	Betaproteobacteria;	Burkholderiales;	Comamonadaceae;	Curvibacter;	Curvibacterlanceolatus	ATCC14669	1265504
g.31624.pp.2	Proteobacteria;	Gammaproteobacteria;	Chromatiales;	Ectothiorhodospiraceae;	Thioalkalivibrio		ALMg9	1266912
g.31758.pp.2	Proteobacteria;	Betaproteobacteria;	Burkholderiales;	Burkholderiaceae;	Pandoraea		SD6-2	1286093
g.31903.pp.2	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Pseudomonadaceae;	Pseudomonas;	Pseudomonasfluorescensgroup;	1YdBTEX2	1295141
g.32274.pp.1	Firmicutes;	Bacilli;	Bacillales;	Bacillaceae;	Anoxybacillus		DT3-1	690871
g.32364.pp.2	Proteobacteria;	Betaproteobacteria;	Burkholderiales;	Burkholderiaceae;	Ralstonia;	Ralstoniasolanacearum	CMR15	859655
g.32458.pp.11	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	Lachnoclostridium;	[Clostridium]clostridioforme	90A1	999403
g.32460.pp.7	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	Lachnoclostridium;	[Clostridium]clostridioforme	90A4	999405
g.32467.pp.6	Firmicutes;	Clostridia;	Clostridiales;	Clostridiaceae;	Hungatella;	Hungatellahathewayi	12489931	999412
g.3257.pp.2	Firmicutes;	Clostridia;	Clostridiales;	Peptococcaceae;	Desulfotomaculum;	Desulfotomaculumkuznetsovii	DSM6115	760568
g.3399.pp.3	Proteobacteria;	Gammaproteobacteria					HdN1	83406
g.3439.pp.4	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides;	Bacteroidesfragilis	638R	862962
g.345.pp.1	Actinobacteria;	Actinobacteria;	Bifidobacteriales;	Bifidobacteriaceae;	Bifidobacterium;	Bifidobacteriumlongum	DJO10A	205913
g.436.pp.7	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides;	Bacteroidesthetaiotaomicron	VPI-5482	226186
g.488.pp.2	Proteobacteria;	Gammaproteobacteria;	Enterobacterales;	Morganellaceae;	Photorhabdus;	Photorhabdusluminescens;	subsp.laumondiiTTO1	243265
g.530.pp.1	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Moraxellaceae;	Psychrobacter;	Psychrobacterarcticus	273-4	259536
g.680.pp.4	Chlorobi;	Chlorobia;	Chlorobiales;	Chlorobiaceae;	Chlorobium;	Chlorobiumphaeobacteroides	DSM266	290317
g.72.pp.2	Firmicutes;	Bacilli;	Bacillales;	Paenibacillaceae;	Paenibacillus;	Paenibacillusmucilaginosus	KNP414	1036673
g.86.pp.1	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Pseudomonadaceae;	Pseudomonas;	Pseudomonasfluorescensgroup;	HK44	1042209
g.963.pp.2	Proteobacteria;	Alphaproteobacteria;	Rhodospirillales;	Rhodospirillaceae;	Magnetospirillum;	Magnetospirillummagneticum	AMB-1	342108
g.963.pp.4	Proteobacteria;	Alphaproteobacteria;	Rhodospirillales;	Rhodospirillaceae;	Magnetospirillum;	Magnetospirillummagneticum	AMB-1	342108
g.996.pp.5	Firmicutes;	Clostridia;	Clostridiales;	Peptococcaceae;	Desulfotomaculum;	Desulfotomaculumreducens	MI-1	349161
